2019-01-15 17:52:23.640045: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:52:23.640212: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[ 243] 2.056: took 8.488 ms
[ 244] 2.065: took 8.363 ms
[ 245] 2.073: took 8.511 ms
[ 246] 2.082: took 8.295 ms
[ 247] 2.090: took 8.385 ms
[ 248] 2.099: took 8.240 ms
[ 249] 2.107: took 8.380 ms
[ 250] 2.116: took 8.401 ms
[ 251] 2.124: took 8.365 ms
[ 252] 2.132: took 8.261 ms
[ 253] 2.141: took 8.369 ms
[ 254] 2.149: took 8.294 ms
[ 255] 2.158: took 8.376 ms
[ 256] 2.166: took 8.369 ms
[ 257] 2.175: took 8.419 ms
[ 258] 2.183: took 8.363 ms
[ 259] 2.191: took 8.406 ms
[ 260] 2.200: took 8.345 ms
[ 261] 2.208: took 8.427 ms
[ 262] 2.217: took 8.416 ms
[ 263] 2.225: took 8.358 ms
[ 264] 2.234: took 8.297 ms
[ 265] 2.242: took 8.408 ms
[ 266] 2.251: took 8.385 ms
[ 267] 2.259: took 8.313 ms
[ 268] 2.267: took 8.427 ms
[ 269] 2.276: took 8.355 ms
[ 270] 2.284: took 8.299 ms
[ 271] 2.293: took 8.345 ms
[ 272] 2.301: took 8.325 ms
[ 273] 2.310: took 8.318 ms
[ 274] 2.318: took 8.359 ms
[ 275] 2.326: took 8.309 ms
[ 276] 2.335: took 8.353 ms
[ 277] 2.343: took 8.377 ms
[ 278] 2.352: took 8.314 ms
[ 279] 2.360: took 8.385 ms
[ 280] 2.368: took 8.311 ms
[ 281] 2.377: took 8.185 ms
[ 282] 2.385: took 8.214 ms
[ 283] 2.393: took 8.156 ms
[ 284] 2.402: took 8.152 ms
[ 285] 2.410: took 8.269 ms
[ 286] 2.418: took 8.288 ms
[ 287] 2.427: took 8.337 ms
[ 288] 2.435: took 8.293 ms
[ 289] 2.443: took 8.341 ms
[ 290] 2.452: took 8.262 ms
[ 291] 2.460: took 8.327 ms
[ 292] 2.468: took 8.513 ms
[ 293] 2.477: took 7.844 ms
[ 294] 2.485: took 7.929 ms
[ 295] 2.493: took 7.894 ms
[ 296] 2.501: took 7.825 ms
[ 297] 2.509: took 7.779 ms
[ 298] 2.517: took 8.067 ms
[ 299] 2.525: took 8.422 ms
[ 300] 2.533: took 8.288 ms
[ 301] 2.542: took 8.397 ms
[ 302] 2.550: took 8.305 ms
[ 303] 2.558: took 8.328 ms
[ 304] 2.567: took 8.355 ms
[ 305] 2.575: took 8.309 ms
[ 306] 2.584: took 8.382 ms
[ 307] 2.592: took 8.266 ms
[ 308] 2.600: took 8.275 ms
[ 309] 2.609: took 8.340 ms
[ 310] 2.617: took 8.285 ms
[ 311] 2.626: took 8.394 ms
[ 312] 2.634: took 8.289 ms
[ 313] 2.642: took 8.279 ms
[ 314] 2.651: took 8.251 ms
