2019-01-15 17:53:43.264337: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:53:43.264446: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[ 291] 4.705: took 15.978 ms
[ 292] 4.721: took 15.982 ms
[ 293] 4.737: took 15.962 ms
[ 294] 4.753: took 15.887 ms
[ 295] 4.769: took 15.939 ms
[ 296] 4.785: took 15.969 ms
[ 297] 4.801: took 16.007 ms
[ 298] 4.817: took 15.939 ms
[ 299] 4.833: took 15.986 ms
[ 300] 4.849: took 15.979 ms
[ 301] 4.865: took 16.179 ms
[ 302] 4.881: took 16.009 ms
[ 303] 4.897: took 16.006 ms
[ 304] 4.913: took 16.027 ms
[ 305] 4.930: took 16.043 ms
[ 306] 4.946: took 15.953 ms
[ 307] 4.962: took 15.956 ms
[ 308] 4.978: took 16.056 ms
[ 309] 4.994: took 15.998 ms
[ 310] 5.010: took 15.947 ms
[ 311] 5.026: took 15.992 ms
[ 312] 5.042: took 15.984 ms
[ 313] 5.058: took 16.253 ms
[ 314] 5.074: took 16.130 ms
[ 315] 5.090: took 15.974 ms
[ 316] 5.106: took 15.912 ms
[ 317] 5.122: took 16.088 ms
[ 318] 5.139: took 15.943 ms
[ 319] 5.155: took 15.963 ms
[ 320] 5.171: took 15.902 ms
[ 321] 5.187: took 15.996 ms
[ 322] 5.203: took 15.963 ms
[ 323] 5.219: took 15.929 ms
[ 324] 5.235: took 15.984 ms
[ 325] 5.251: took 15.989 ms
[ 326] 5.267: took 15.912 ms
[ 327] 5.283: took 16.102 ms
[ 328] 5.299: took 16.035 ms
[ 329] 5.315: took 16.051 ms
[ 330] 5.331: took 15.949 ms
[ 331] 5.347: took 16.002 ms
[ 332] 5.363: took 16.009 ms
[ 333] 5.379: took 16.054 ms
[ 334] 5.395: took 15.894 ms
[ 335] 5.411: took 15.954 ms
[ 336] 5.427: took 15.874 ms
[ 337] 5.443: took 15.911 ms
[ 338] 5.459: took 15.909 ms
[ 339] 5.475: took 15.924 ms
[ 340] 5.491: took 15.962 ms
